"LME_NUMBER","OBJECTID","LME_NAME","Shape_Leng","Shape_Area","artisanal_fishing","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","global_cumulative_impact_2013_all_layers.gri","inorganic","invasives","night_lights","ocean_acidification","ocean_pollution","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","shipping","slr","sst","uv"
1,60,"East Bering Sea",148.283217699,189.729414728,9.11621240461063e-06,0.218908690607381,0.0367877590650251,0.0374714007173335,3.10598346201353,0.00100298980224111,0.00319380680933402,6.4497208064283e-05,0.583637712740561,0.169550984531747,0,0,0.00142812688583234,0.000746819714818565,6.61452721018429e-05,0.000739168987835673,0.125834831770763,0.0627391699998814,1.13606472004131,0.727737508467302
2,4,"Gulf of Alaska",468.695688344,203.793867511,0.000808373638011364,0.0524437201843778,0.0085854559532749,0.0194485023434187,2.95124811224603,0.00327782241686457,0.0191130222417236,0.000986536205256843,0.814756343712589,0.279889044159548,2.1363428121708e-05,0,0.00108333873202949,0.00182957403015697,0.000164091118600239,0.0063647558988532,0.202800822566443,0.0378091503652656,0.790023846957239,0.711842334710116
3,10,"California Current",110.244423248,215.804744389,0.000289734123888057,0.0259236420590607,0.0150754036584238,0.0392945129862403,2.9589259975953,0.00326141513786193,0.00446960932566679,0.00045906456874964,0.968211223100207,0.375724390135044,0,0.00317190240375245,0.00523117880126509,0.00157847299043893,0.000469106063553002,0.00295753481235296,0.248727280546713,0.0101172483163013,0.551387080793225,0.702577201544638
4,20,"Gulf of California",50.5032369568,20.0876799753,0.00105453950298039,0.074519236476428,0.0121312688685188,0.146071058064491,3.26087907758207,0.0168409651854681,0.0108274233825986,0.000986881198499993,0.894615231711173,0.0974375655824638,0,0.00269820163555129,0.00398591660890544,0.0148955098872418,0.00674321301217077,0.0155249707517634,0.065241363261361,0.120598081524836,1.38760524601475,0.389102372399253
5,21,"Gulf of Mexico",116.221437916,137.234831192,0.00047312774349421,0.0827753415791059,0.0461889699101743,0.0427322202483117,3.82483845788004,0.012385810285354,0.0210818312790583,0.00158452416716478,0.919559365491833,0.286779098543861,0.00107000624202847,0.0116019180716835,0.000752324175708054,0.0152306425034561,0.00375265019190264,0.0073177377074153,0.192802157166347,0.222767121021612,1.41960748916237,0.536376114282873
6,19,"Southeast U.S. Continental Shelf",60.4763047857,28.3566504978,0.00293300799248365,0.0880593142803923,0.0276228711085702,0.0279010104763334,3.41425368804308,0.0255805483576873,0.0384877312889146,0.00338047613860322,0.881707699226693,0.385385795298853,0,0.00339602046772109,0.000370790125850751,0.0200123075700967,0.00240337734862555,0.0167033163733487,0.283886761638347,0.224458126011219,1.04858448016916,0.333380052305515
7,12,"Northeast U.S. Continental Shelf",131.06076327,34.4699302913,0.00445161719007396,0.281715738058805,0.114431508294032,0.0827432617060149,3.80097713288471,0.0284853957767288,0.0863481941343728,0.00909657446928509,0.534171365056941,0.30092295116822,0,0,0.0233313925429274,0.0189236005569217,0.00402106460933651,0.0448074488919717,0.31839932379676,0.31790324460458,1.15297390623581,0.478250553179018
8,9,"Scotian Shelf",87.605889957,32.8289784535,0.00307770493954911,0.174993339641044,0.165728245190571,0.0761112491228022,4.04106031169913,0.00899064750134138,0.0498792451553567,0.00406373200031132,0.555701299965224,0.265489338321587,0,0,0.0475885630855814,0.00461545322664278,0.000295825166955306,0.0199841490714715,0.304626463426629,0.232410806675299,1.57079334726266,0.556710912048487
9,5,"Labrador - Newfoundland",270.847478624,114.597691045,0.00206947558837288,0.238384363297207,0.112926503884867,0.0375876532946669,3.90768213524701,0.00451859675370655,0.0156010509608369,0.00168265958809234,0.675866322707448,0.222145328734417,0.000118532306638687,0,0.0222416254661066,0.00210837767656906,0.00032495123489816,0.0101763971149682,0.246030781608653,0.101901736098868,1.6010625963161,0.612935166886406
10,24,"Insular Pacific-Hawaiian",72.9214424204,87.0088696678,0.000391670152281179,0.00291334923447899,0.00182621333392615,0.00559588742221089,3.52213568337167,0.00126387081109595,0.00135215783658561,0.00028897592974874,1.19595471519037,0.19009182035686,0,0.000358075400784608,0.00111947470942625,0.00141875385602143,0.000176473421358434,0.00135249160420043,0.118444070238691,0.00578533536920932,1.32711333444746,0.666688980495295
11,28,"Pacific Central-American Coastal",153.151882822,165.397392268,0.00149959361106503,0.0566372416622092,0.015658371303945,0.0350140862520099,3.37278355925219,0.00840754102104777,0.00843102691293815,0.000342534068784988,0.975605719914983,0.248927051829314,0,0.015586657078157,0.00714431066876538,0.00659339076298421,0.00280881960273939,0.00485961731204991,0.159455424312005,0.0270014870584798,1.15341958233641,0.645391095522511
12,25,"Caribbean Sea",269.198583695,276.603751656,0.00204771551449821,0.0328734729247163,0.0230230806890858,0.0145408287661264,4.22899972405194,0.00971178390682643,0.014849846668268,0.00121892981190039,1.11223799056797,0.333718130274086,2.24193087059975e-05,0.00325360615019891,0.000996570672932975,0.00630075325302652,0.00192959908849476,0.00955682495564034,0.225945670234465,0.0775159181146112,1.83423236566414,0.525024201292095
13,36,"Humboldt Current",442.599531459,253.06909724,0.000707661265781892,0.0495224841912447,0.030592008337766,0.101887358083549,3.05366446959236,0.00518214507141827,0.00392664365872501,0.000284671220445003,0.952284181116652,0.15304210736072,9.22339717355756e-07,0.00138039120449039,0.00248296602780799,0.00345551715837613,0.00103754231673945,0.00561698156195013,0.0932247922431545,0.0380150472862347,0.891130520608842,0.719890509314996
14,45,"Patagonian Shelf",143.260741385,137.364853087,8.43969419193126e-05,0.220602654443306,0.0436596550272694,0.0210903545376447,2.99120659843178,0.00304710082617588,0.0110256978167894,0.000319318063991094,0.711820127130029,0.060301697829653,6.25550503069152e-07,1.45258412781222e-05,0.000164055467605108,0.004486145482941,0.0015376093983436,0.00420616856795781,0.0565343915740943,0.197043054834892,0.974889179500156,0.680379856451643
15,43,"South Brazil Shelf",70.1466398516,51.8759986797,0.000979174649847566,0.0830567612333634,0.0486302793602861,0.0163800226427793,3.90697100465069,0.00876181892441383,0.02480579649172,0.00157135337341607,0.947672370414229,0.271009212812635,0.00182945884749118,0.0140102245494301,0.0110816268599227,0.00992048066655438,0.00112253828824943,0.00886112096679384,0.25280404538937,0.133762654676937,1.46953401502578,0.601178038285923
16,35,"East Brazil Shelf",76.585164469,89.2866091414,0.00124374078715759,0.107386447529273,0.0491081596060328,0.0301872798970345,4.14139100127208,0.0132884715707055,0.0126297144582523,0.000748111025108191,1.04624686336207,0.304090516740805,0.000668238814262474,0.0739756612934844,0.0137165939971359,0.0153797180912354,0.00168127007223438,0.00442382421016634,0.192787153982204,0.102966958796142,1.5720999161152,0.598762341067523
17,31,"North Brazil Shelf",149.532880708,86.1054665318,0.000196133520419601,0.0749692394219217,0.0399600875945195,0.0228324606587458,3.87999117496228,0.00729219623158821,0.00690562988226723,0.000350811261118393,0.858490770333521,0.200798418638331,5.20093214125732e-05,0.0277997435997131,0.00252045816183906,0.0100925415684428,0.00153859859933633,0.00913168356070325,0.128220034613448,0.304852871432531,1.64036265240424,0.543624827346959
18,61,"Canadian Eastern Arctic - West Greenland",1025.94764515,331.64437588,0.000704424318313686,0.156413268428522,0.0185456186566256,0.00320353846343899,2.57807229633401,1.20183895650259e-08,0.00751417569225671,9.55271154075522e-05,0.605216747367393,0.073536955896778,0,0,0.00015700945214686,4.76153947690583e-05,1.84499327037457e-06,0.00223305969861488,0.0550752116858395,0.0649787355568462,1.16054564914069,0.42980286814198
19,52,"Greenland Sea",478.515084359,347.560761191,9.21154197871783e-05,0.0513664178105886,0.0225656841121047,0.0385084283453935,2.68114027806328,0,0.000318170912752679,9.41295639890742e-06,0.927289189148371,0.0621361804722405,0,0,0.00189992126997736,0,0,0.000308127673118553,0.0458705303606629,0.0285278206521294,1.14318266118466,0.359065600943185
20,54,"Barents Sea",792.332999321,678.861124641,0.000231841964294618,0.171771072464687,0.17819685498303,0.0517022838629505,3.1650700885453,0.00214935696323593,0.0068989590794705,0.000796427027892787,0.831928315695601,0.0982608831688377,0,0,0.0255448026166636,0.000245455389415655,8.90452547216724e-06,0.00464097433772427,0.093587283999442,0.0799757746313568,1.16205653924507,0.457074335698318
21,53,"Norwegian Sea",159.901810149,232.309781036,0.000351634401729663,0.141228952274161,0.121615938383679,0.0612487642328108,4.42858711729999,0.00140083383282249,0.00760531093919453,0.00111213348518093,1.07217192849753,0.234832430223246,9.30142170252296e-05,0,0.0810442984679045,0.000458719654952041,7.3182369866748e-06,0.00650301431866681,0.168951688013231,0.0233123954141977,1.90811176838249,0.598536964715597
22,3,"North Sea",209.486402669,103.9652466,0.00190500866626607,0.384083852316452,0.198719677219145,0.101961757882367,4.9387653645858,0.0249966582098604,0.100705830713825,0.00538136211153905,0.624009787266604,0.472446934650243,0.000359064512685048,0,0.0900716510585961,0.0288944061770768,0.00412537265849272,0.0274384704853457,0.454779849637446,0.364931658534508,1.45937776928081,0.594576266604529
23,1,"Baltic Sea",219.326402059,61.9500208262,0.00327148922724056,0.0197959976209606,0.140124163434776,0.112313740132708,3.75759269871758,0.0562112810536719,0.234454136456125,0.0100778396554032,0.0125944943138209,0.47319465563286,0,0,0.046705760665868,0.053725539705065,0.00587456068146633,0.066922358080328,0.366775367626667,0.726239313932408,1.02492881323476,0.404383180516479
24,6,"Celtic-Biscay Shelf",214.311375288,98.7623489389,0.00277091533252143,0.197587983278292,0.126672192369468,0.0615396758062429,4.66490680713635,0.0187802595981139,0.06144549215977,0.00418484770472536,0.880599513783751,0.339448786254851,0,0,0.0421545187126376,0.0186050874443111,0.00463242316877917,0.0243250121676843,0.405663739717817,0.137871781128849,1.68295856868404,0.655666009331709
25,14,"Iberian Coastal",57.193046581,32.6491639373,0.00108293939852045,0.138139709876524,0.089029560662679,0.0904563225466905,4.5779744183032,0.0277482323396839,0.0314804342483497,0.0043904619569817,1.03949132225768,0.506049558290122,0,0,0.0264738537517481,0.0179855880803562,0.00594841566989039,0.0153326931723383,0.408876232940556,0.0519181734547042,1.48250347845662,0.641067434709469
26,13,"Mediterranean Sea",350.629348915,256.745168483,0.00161112301822201,0.0734792965847767,0.0675736222667105,0.0563043959519473,4.54867137421016,0.029641660340478,0.0379688306287883,0.00429436830344247,1.06305251066469,0.481170593062723,0.000267587652750984,0.00186412958614056,0.0115202637758757,0.0195693357129963,0.00486037008438033,0.0204005937914737,0.384038792284271,0.082944753557175,1.65935565533115,0.548753488643224
27,17,"Canary Current",96.4037842891,100.884476333,0.000288207091014946,0.0717796651061595,0.102954880815543,0.118229846112959,4.64398554982062,0.00773198399533594,0.00716954736238303,0.000622658598276779,1.05159689953475,0.405243069060841,4.97998920278245e-05,0.00519894881936653,0.00637565640643034,0.00408646788910469,0.000816130659465323,0.00560885043392684,0.290572010538423,0.0729628566147888,1.82814645549535,0.664551600208579
28,32,"Guinea Current",156.97120198,156.534240177,0.000985891678194309,0.0568225733371753,0.0623431239491738,0.0369271296404351,4.08203284194094,0.00816281203841591,0.0139679054476015,0.000232596649929755,1.04297272155483,0.225544559561201,0.0131496201665377,0.107940251003907,0.0084081756663026,0.0029189900737301,0.000684972949283402,0.00400723033873771,0.150443043431929,0.0957063818310362,1.68060966034326,0.570205169076435
29,37,"Benguela Current",81.6751243416,128.348959069,0.000194027796072692,0.0422079300410619,0.0251493137686291,0.0666261544818107,3.69867137350501,0.00471431065189653,0.00413355799144924,0.000228594053112172,1.04831543917849,0.169973432248263,0.00099187982905044,1.12153238683016e-05,0.000772912786597146,0.00125640662799007,0.000336596332885366,0.00208695137169826,0.123507589217397,0.022317490974812,1.54603985237556,0.639807690525642
30,40,"Agulhas Current",194.802316146,232.569655933,0.000663236084621121,0.0396129189822346,0.00886445881514615,0.0169544305860468,3.84355707697069,0.0080395282093318,0.00487015137372613,0.00015320345115699,1.09583505591061,0.156600716186746,8.28825077461992e-06,0.0033241557746923,0.00541610003202661,0.00268754836334758,0.000402655726834855,0.00552879881513263,0.10132470722795,0.061738665777179,1.68908473695083,0.642447682490369
31,33,"Somali Coastal Current",70.2530544347,68.5710741963,0.000960972468430962,0.0209652612218139,0.0233667652207095,0.00724678826557875,3.4494350552793,0.00982162848599009,0.00504245109171669,0.000247839548543533,1.03830335341236,0.0476071456022034,0,0.00725152516985052,0.00236570882720688,0.00341584814381498,0.000487601799307214,0.00736810071828195,0.0250683643399448,0.0498480799716619,1.67497938302601,0.525088205603905
32,22,"Arabian Sea",200.00884632,333.7834462,0.000435812479625188,0.0848722110358769,0.0562728934343616,0.0405884216939994,4.13117033046127,0.008474465934174,0.0167074402153181,0.00104173580176915,1.00183848785168,0.312937723491995,0.00120475731859024,0.0218922959574352,0.018136912904012,0.00713194003018745,0.000541083332340229,0.00530088611883852,0.208376495901884,0.0840965925125865,1.64974225588273,0.611577909782555
33,23,"Red Sea",69.405100556,40.0309910175,0.00189207369706319,0.0882806944039546,0.053115046711241,0.0254140771767318,3.64233299134901,0.0155595319865981,0.0353794331949564,0.00281265287459604,0.951726472606534,0.269073249273261,0.000395375900434074,0.000547823499300526,0.000556130315220906,0.00553107990503915,0.000271478837437779,0.0200921896428197,0.218498150708175,0.315927301803492,1.37660383980192,0.260656390171148
34,27,"Bay of Bengal",219.637122077,304.148625172,0.000891532501404739,0.147632291741475,0.11775539296063,0.0716205417413602,4.02130608094686,0.0117301225536423,0.00750192894396705,0.000509467621444427,0.991085793764609,0.12430823504687,3.11026045308443e-05,0.100801068412082,0.0290375396620365,0.0137537318958825,0.00143226032800116,0.00895263138950186,0.0781209544847396,0.105617457753414,1.59785001345566,0.612673975749064
35,30,"Gulf of Thailand",46.0178699013,31.8646652723,0.00216421001719278,0.435445242697372,0.345862158418405,0.16376290007558,4.06378831400978,0.0245927110647922,0.0397734130978261,0.00257154730503031,0.488427862596377,0.254375059549146,0.000606927495773389,0.000103123004849897,0.00433633823731798,0.0351740401759665,0.00694956615890089,0.0202983573210546,0.192349329427921,0.662980188498268,1.00009846319516,0.383916861621881
36,26,"South China Sea",205.956314988,264.397357309,0.0012456601494024,0.33937605633662,0.317326656835742,0.133812315404955,4.45072891115585,0.0108539060186362,0.0145569820315132,0.00125637728298013,0.898172226817272,0.30692899985646,0.00108727010601561,0.0105569468725397,0.030352739348503,0.0159914778534641,0.00218541946298311,0.011457202497557,0.245107018277698,0.245599442040855,1.34763241415389,0.517229778608848
37,29,"Sulu-Celebes Sea",156.109845944,82.9719894869,0.0140507931680056,0.219728582678403,0.304366800139222,0.14757373169595,4.30543317927774,0.0213666399740209,0.0215648841694823,0.00105361616348473,1.06526809345698,0.163252378569793,3.96516038770357e-06,0.00248538684775329,0.0510416292849827,0.0129638933867477,0.00159657904689236,0.0354919042424558,0.113280868501005,0.17468393706502,1.47397755600499,0.48168190669859
38,34,"Indonesian Sea",284.654572553,184.897965208,0.00602741308450905,0.260716547544846,0.180574588151832,0.143461906800915,3.80848509163864,0.0173834252127592,0.0132613188674242,0.000622953352350451,0.906913232750199,0.139835039398549,0.000352548447121285,0.00255069233945667,0.0404969766270833,0.0156276890099678,0.00179438354140187,0.0219671371076946,0.0931202358542934,0.311967673969081,1.1893971040159,0.462414193846368
39,38,"North Australian Shelf",103.681587973,64.9206989499,6.1190979965696e-05,0.0682114311840199,0.0330912746363914,0.022923653779791,2.55559079780992,0.00143907819106785,0.00943447066611974,0.000142240056351677,0.535779347344547,0.093804349129168,0,0.0027921090488791,0.0134320677209066,0.00858781200854215,0.000349118074162749,0.00326649741325093,0.0831715095295324,0.650598253869167,0.51346154366601,0.515044859459709
40,39,"Northeast Australian Shelf",71.0359948408,109.050873088,0.000465481291494288,0.0123332161251808,0.00615059768334613,0.0308891287177801,3.42167665391412,0.00116490933011876,0.00691393428723682,0.000168806194237353,0.990545090996062,0.192683548883647,0,0.00185214583575636,0.0401678822291658,0.00308242082068653,0.000147382012955521,0.00248080375405493,0.119727656749918,0.26064461590974,1.26279338115546,0.489465624396022
41,42,"East Central Australian Shelf",52.713869716,60.6370155002,0.00183578710825611,0.0191125291837429,0.0081400053085041,0.0128329982331852,4.07916279239533,0.00538032992250547,0.00236552335857471,0.00061382194990118,1.12947996237888,0.271777219610258,0,0.000400350596291367,0.0128272463364706,0.00466830820871516,0.000451499160954382,0.00554731607244846,0.181246764728714,0.0454560133087406,1.65455132480028,0.722475785460761
42,46,"Southeast Australian Shelf",106.976592461,127.89582666,0.000405204870868306,0.0138705392710701,0.00969219713674581,0.00261210817262596,3.54138949480944,0.00151779472685873,0.00707597327093994,0.000233062083494771,0.982318806398277,0.131682811984645,7.25600416910778e-05,0.000188696336772997,0.000623138494980085,0.00325599198931455,0.000490795640924679,0.00398316942016873,0.09372999890294,0.0746304864348288,1.49681405004843,0.718192087146478
43,48,"South West Australian Shelf",86.0917820857,100.611490228,0.000204293140936393,0.0192335768077012,0.0208980246837596,0.00407882867736882,3.76971963339731,0.00072269812628263,0.00761953980603307,0.000123328403671081,0.935665269697544,0.137657652119188,0,0.000520475703533639,0.000966591594729318,0.00479056162008638,0.000529550573515554,0.00253489273291448,0.0908271024896752,0.146520952300297,1.71434935319376,0.682476907549963
44,49,"West Central Australian Shelf",46.1564249265,53.2019209662,9.59378450403216e-05,0.00896565597301021,0.0116758452131438,0.00338757625497746,3.87511594279425,0.000798019461382841,0.00659202442193003,0.000139910575054671,1.03033442419523,0.240888463737355,0,0.0289082087636721,0.00138599262968044,0.00302484208238268,0.000505060122530411,0.00204031189203206,0.169812910571404,0.121792989169949,1.54701957013049,0.697748169000132
45,41,"Northwest Australian Shelf",69.5862295254,77.3480637124,5.43218400596785e-05,0.0447231656077207,0.0247536333137644,0.00990057684158362,3.69112955597426,0.000294487870253474,0.00687468158084456,0.000126733998135148,0.93446950463355,0.205335570183846,0.000151743174685433,0.0203439156659965,0.00189593650620751,0.00129033584190534,5.05664662793236e-05,0.00180452511317329,0.160898243823364,0.227226431627023,1.49594293859293,0.554992223865294
46,44,"New Zealand Shelf",167.460004981,103.144035896,0.000533167543394643,0.104274778204184,0.0266612821093003,0.00953702190887693,2.77369362793298,0.0114347196400845,0.00903824106526736,0.000428270181963497,1.00990299684776,0.146400828737158,0,0.00043718465085358,0.000372184249485827,0.00883963975139813,0.000649456464243892,0.0075630119517354,0.116795690309018,0.0650438839340068,0.741354771352951,0.514426488345271
47,18,"East China Sea",105.073242794,72.6529205175,0.00144130124057438,0.564381800171069,0.481551184520167,0.167127593639274,5.27707105922259,0.0178457847066551,0.0277440364744219,0.00551986859205259,0.785444561436263,0.402088833576279,4.23768079798499e-05,0.0210360912696742,0.0115002097381704,0.0193154525192978,0.00298165130100382,0.0274077184977246,0.429517312244317,0.251961048606106,1.47295604153805,0.587208203039565
48,16,"Yellow Sea",78.7923842408,44.3132494265,0.000876817131251519,0.458321577766001,0.610023699508775,0.213460255978313,4.79791787120145,0.0481166710416184,0.0630040445396631,0.00645204964871499,0.383315438749201,0.442709957696299,0.00027277796301875,0,0.00343452374510386,0.0675825893212704,0.0141029090185138,0.0352708594748954,0.377806961825898,0.641496586986754,0.985734818019792,0.445935329671639
49,15,"Kuroshio Current",123.339378667,125.306929211,0.00142666618961835,0.109796954589232,0.0882113326188135,0.0766286058110764,4.32624404627197,0.00922056688876336,0.0237267424312144,0.00213890887412762,1.10091290784731,0.394713065850244,0,0.0107965674258319,0.01859842359073,0.00611390399157072,0.00196778931111456,0.0108904092181989,0.271041091213502,0.0344772192190477,1.53736832555068,0.628214546988788
50,7,"Sea of Japan",89.0782788957,106.472323797,0.00118610344383871,0.192009837706373,0.0826441929714831,0.0870564565034972,3.92533265402783,0.0119354601199962,0.0229961972875752,0.00203357448896238,0.851459375507853,0.269797697468362,0,0,0.00442726246080383,0.00808633581674004,0.002772509847983,0.0117594603906112,0.191034905600769,0.0496082348382392,1.58218058046164,0.554344471427976
51,8,"Oyashio Current",55.9878855219,61.2565278967,0.000161408847875969,0.0739498679773358,0.0317401262597888,0.0434202349002333,3.21581090607089,0.0013530455448632,0.00168988707426107,0.000155078135681285,0.785094248065647,0.343045371669317,0,0,0.00603252632113608,0.0019181488482266,0.000783008467234513,0.00248859604972814,0.222708024196703,0.0212011386554997,0.915480175146103,0.764590028094453
52,2,"Sea of Okhotsk",145.932989028,213.796584333,0.000213004434024858,0.446928179653166,0.0937175926666328,0.10394315140319,3.15693391779721,0.00107274872595299,0.00205284242303778,0.000219059986029482,0.624395722667721,0.132413614381744,1.59423235118452e-05,0,0.000490525498447494,0.00100944242627997,0.00019524847377055,0.0028110367596067,0.100873490005718,0.0674537006815885,1.02075465418316,0.558373942763324
53,58,"West Bering Sea",92.8922586399,111.532476931,9.50897459106655e-05,0.0772748942432024,0.0174456542419059,0.0608282854538037,3.46651450406344,0.00064504346569682,0.000548078496284476,6.74712599000593e-05,0.657588810315962,0.144065882228806,0,0,2.03347981967683e-07,0.000259655447403745,1.20599340502361e-05,0.00233719207315969,0.0880302681100593,0.0234024731672865,1.70220126865589,0.691712145366174
54,66,"Northern Bering - Chukchi Seas",272.470983926,332.631346265,4.35644335925461e-05,0.114233003239947,0.0219419461794724,0.0147440872280009,1.93679861497743,0.000592377707812279,0.00319111342755382,0.000157808723361688,0.467369320676741,0.033693090208171,0,0,4.70174095264193e-05,0.000854714305228679,0.00010982708746668,0.00163552990915974,0.0255939527542541,0.174325493129134,0.712899920348608,0.365365844230047
55,63,"Beaufort Sea",478.747079769,292.450949135,2.00509795289418e-05,5.52565883783999e-05,1.01034254643139e-05,0,0.938627565947246,9.6086784791835e-06,0.00370186229725807,0.000153528477171744,0.545721518941742,0.00582717327201158,9.79649445324776e-06,0,0,0.00074884353295015,4.31104420799769e-05,0.000249087691754725,0.00261592506673794,0.039254139616611,0.229996615488997,0.110210946437022
56,57,"East Siberian Sea",89.9686448936,187.920184554,1.56411945874192e-05,7.93523270880382e-07,1.76509939671948e-07,0,1.0204019257728,0.000582959266716164,0.00131853254160464,5.20658767178018e-06,0.359229620353834,0.00142015271883306,0,0,0,3.60927977087596e-05,7.86508243480745e-07,0.000515367877156188,0.00074408300111671,0,0.281967870548282,0.374564640467427
57,56,"Laptev Sea",370.641941298,303.977692922,8.28891046165435e-06,0,0,0,0.641695282728811,0.00078763699523745,0.000319385729821156,1.47493700644185e-05,0.253749940922341,0.000358894373599763,0,0,0,0.000403861494887274,5.02660686963113e-05,0.000806271901758804,0,0,0.212110763646772,0.173085225210418
58,55,"Kara Sea",417.116801326,353.201183396,3.96958360514524e-05,0.00110425534307928,4.98614419418608e-05,1.50324001606347e-05,1.57482776190996,0.00117923291089474,0.00127282773890085,7.04012973666593e-05,0.494145497566533,0.0184812091026142,5.94234281494905e-07,0,0,0.000422892290124209,0.00011593773030185,0.00300947132844864,0.0122414262516112,0.243457653046725,0.501023075827519,0.298198701305329
59,51,"Iceland Shelf and Sea",138.480688598,97.1401215956,0.000678115051062824,0.24194225983854,0.199317295413048,0.15347964221476,4.41069937693577,0.00143091060454312,0.0111226382504799,0.000572193671373441,0.952188709147361,0.210486523591355,0,0,0.0540957607557198,0.0016368638290677,1.87337183499372e-06,0.00497286815571472,0.199514106432675,0.0381169130738839,1.87259861528873,0.468544082280727
60,50,"Faroe Plateau",29.0561994456,17.6144005623,0.000449386173038863,0.360504948613125,0.0438494854518702,0.0175216858864201,4.81044191134451,0.00101799444909519,0.0162689031944755,0.000553196764600636,1.07933105158558,0.273110317323603,0,0,0.011942119654006,0,0,0.00632964723781053,0.247580641473372,0.024158793993013,2.16741043034686,0.560413322459932
61,47,"Antarctica",1686.15672841,1341.22332028,0,0.00244326608602526,0,0.0114001734510041,0.937502294538678,0,0.000179995745452265,0,0.428598176082349,0.00886534775382817,0,0,0.00231900548268258,0,0,0,0.00611504442391815,0.0593682870333052,0.270942741118104,0.147270251895886
62,11,"Black Sea",84.745092942,51.5342804486,0.00180708538947439,0.0127871657171196,0.0119094622472463,0.0578990409614842,4.54075965703667,0.0364666898452481,0.0411958321088986,0.00221725440701722,0.974794388298409,0.442028680004063,6.12981022490657e-05,0.000110459821162683,0.0029888595488712,0.0320768505693747,0.0094167161332647,0.0165718332874308,0.3391662681907,0.177029093721372,1.84722157264899,0.535011113016517
63,62,"Hudson Bay Complex",391.717406389,209.464313318,6.81627013596255e-05,0.0005358453328355,4.27312455443399e-05,1.1045150362726e-05,2.35366157459037,0.00125763217933821,0.00280865725552349,0.000136335331123608,0.324456854464136,0.0332708702050791,0,0,6.65671521910926e-07,0.00244680476601992,0.000546785394800986,0.00127380226478588,0.029617417763004,0.275361245603957,1.09116736879564,0.590659363544272
64,65,"Central Arctic",760.568294359,3181.18885474,0,0.000368513869718499,6.8770573717443e-07,3.94444996321031e-07,0.744350229205194,0,0,0,0.726017222406283,0.0023381653673746,0,0,0,0,0,0,0.00131729094381086,0,0.0115707829648478,0.00273717204490807
65,59,"Aleutian Islands",71.345688951,28.6336746047,6.91461953109373e-06,0.0862950529980902,0.00986669101420631,0.0213162147755029,3.06759202773523,0.000563925871699209,0.00511295161002681,4.84733805015028e-05,0.648652746573356,0.219975066159844,0,0,0.00043681333752235,0.00126443120811296,6.62166117454129e-05,0.000482955442109653,0.145651478184248,0.0323423340746874,1.29458241876152,0.600927310831611
66,64,"Canadian High Arctic - North Greenland",1059.50134216,297.732265258,9.01478008561402e-05,0.000180335847158943,4.30448013582573e-05,3.42829159037216e-05,0.580529496243736,1.98777330433155e-08,0,0,0.445423302449223,0.0013016271229746,0,0,0,6.61507520389481e-05,4.9643217763346e-06,0,0.0012322485460015,0.000814929825512493,0.0794574256176761,0.0518810163222414
